,time,mag_x,mag_y,mag_z,lat,long,elevation,day/night
539,2023-04-23 04:08:33.936969,44.75877,7.15173,-28.82674,-37.838829436507574,-174.23132787801495,424.22148471763757,Day
540,2023-04-23 04:08:41.468361,44.69845,7.25373,-28.89737,-38.14021764419983,-173.77903079226667,424.34893929267207,Day
541,2023-04-23 04:08:48.993184,44.90257,7.47507,-28.98353,-38.439316982197724,-173.32317056580953,424.4758711968386,Day
542,2023-04-23 04:08:56.516862,44.8664,7.7181,-29.06166,-38.73631515864446,-172.86336590315508,424.60234650097135,Day
543,2023-04-23 04:09:04.049768,44.91581,7.79172,-29.27559,-39.03156707740442,-172.3989483418504,424.72850453472097,Day
544,2023-04-23 04:09:11.587246,44.79467,8.04683,-29.21787,-39.324860221662554,-171.93012279172154,424.8542435758212,Day
545,2023-04-23 04:09:19.107168,44.71416,8.05849,-29.42198,-39.61529305231867,-171.4582393675395,424.97916443965863,Day
546,2023-04-23 04:09:26.640803,44.5625,8.32396,-29.7554,-39.90402716662939,-170.98130516499538,425.1037552474044,Day
547,2023-04-23 04:09:34.194336,44.56144,8.43297,-29.8352,-40.19125999445777,-170.49882746756572,425.22809312724115,Day
548,2023-04-23 04:09:41.732165,44.43819,8.69947,-30.12218,-40.4755782007799,-170.01305843820208,425.35155631852666,Day
549,2023-04-23 04:09:49.280475,44.29877,8.84092,-30.18834,-40.75793881876936,-169.5222550920587,425.4745501660051,Day
550,2023-04-23 04:09:56.809711,44.37571,8.89591,-30.14534,-41.03718354174077,-169.02832815757458,425.59656014999126,Day
551,2023-04-23 04:10:04.354313,44.3817,8.83041,-30.18087,-41.31458751023794,-168.52890866805583,425.7181343475491,Day
552,2023-04-23 04:10:11.892029,44.40946,9.09235,-30.08622,-41.589241122388714,-168.02549839943336,425.8388664565407,Day
553,2023-04-23 04:10:19.422043,44.52113,9.16494,-30.13525,-41.86112418499652,-167.51803828859028,425.95873877634654,Day
554,2023-04-23 04:10:26.954680,44.54386,9.31225,-30.1914,-42.130483621207205,-167.00595519033305,426.07785249220836,Day
555,2023-04-23 04:10:34.508551,44.57397,9.57604,-30.30618,-42.39800282879675,-166.4877819884107,426.1965046612865,Day
556,2023-04-23 04:10:42.071077,44.50495,9.86742,-30.35831,-42.663152605904735,-165.96435840908597,426.3144564358311,Day
557,2023-04-23 04:10:49.648403,44.54282,10.02694,-30.62345,-42.92609596157631,-165.4351873476566,426.4317762076245,Day
558,2023-04-23 04:10:57.226389,44.4898,10.07041,-30.55066,-43.18627360524102,-164.9012328313036,426.54821026272435,Day
559,2023-04-23 04:11:04.805810,44.51261,10.25816,-30.66495,-43.443667982710565,-164.36239529569727,426.66374616735027,Day
560,2023-04-23 04:11:12.384372,44.39133,10.24366,-30.71385,-43.69815134356156,-163.8188082132219,426.778322454522,Day
561,2023-04-23 04:11:19.962350,44.29921,10.43462,-30.75129,-43.94968204784807,-163.2704299539362,426.8919166594461,Day
562,2023-04-23 04:11:27.540816,44.25185,10.60188,-30.83232,-44.198254885090726,-162.71713678234383,427.00452337329426,Day
563,2023-04-23 04:11:35.123878,44.26657,10.76227,-30.86418,-44.44394330748922,-162.15861696534833,427.1161737311679,Day
564,2023-04-23 04:11:42.704159,44.14906,10.92527,-30.73735,-44.68645923919564,-161.5953837709171,427.2267349986264,Day
565,2023-04-23 04:11:50.289378,43.98751,11.18081,-30.76022,-44.9259917850811,-161.02685448103975,427.3362921391342,Day
566,2023-04-23 04:11:57.863864,43.90031,11.4074,-30.71317,-45.16200807316541,-160.45416861416302,427.4446001818619,Day
567,2023-04-23 04:12:05.444526,43.8961,11.5371,-30.69022,-45.39497578447792,-159.87606234206487,427.5518731351751,Day
568,2023-04-23 04:12:13.018349,43.90859,11.64631,-30.65284,-45.62444965936688,-159.29350140736386,427.6579061832993,Day
569,2023-04-23 04:12:20.594381,43.83924,11.89777,-30.73558,-45.850651059443315,-158.70579404672847,427.76280207809646,Day
570,2023-04-23 04:12:28.173721,43.80697,12.03324,-30.77077,-46.073557633069115,-158.1128406652457,427.8665522171712,Day
